id,mode,oracle_tick,center,lower,upper,attacker_edge,offset,overlap_factor
150,chaos,-520364,-521280,-521480,-521080,916,-916,0
151,chaos,-520364,-517080,-517280,-516880,3284,3284,0
152,chaos,-520364,-520260,-520460,-520060,104,104,0.75
153,chaos,-520364,-524400,-524600,-524200,4036,-4036,0
154,chaos,-520364,-516870,-517070,-516670,3494,3494,0
155,chaos,-520364,-518230,-518430,-518030,2134,2134,0
156,chaos,-520364,-517940,-518140,-517740,2424,2424,0
157,chaos,-520364,-524610,-524810,-524410,4246,-4246,0
158,chaos,-520364,-521630,-521830,-521430,1266,-1266,0
159,chaos,-520364,-522880,-523080,-522680,2516,-2516,0
160,chaos,-520364,-525260,-525460,-525060,4896,-4896,0
161,chaos,-520364,-521380,-521580,-521180,1016,-1016,0
162,chaos,-520364,-520790,-520990,-520590,426,-426,0
163,chaos,-520364,-516550,-516750,-516350,3814,3814,0
164,chaos,-520364,-524210,-524410,-524010,3846,-3846,0
165,chaos,-520364,-519110,-519310,-518910,1254,1254,0
166,chaos,-520364,-520820,-521020,-520620,456,-456,0
167,chaos,-520364,-523400,-523600,-523200,3036,-3036,0
168,chaos,-520364,-521620,-521820,-521420,1256,-1256,0
169,chaos,-520364,-522160,-522360,-521960,1796,-1796,0
170,chaos,-520364,-518980,-519180,-518780,1384,1384,0
171,chaos,-520364,-521370,-521570,-521170,1006,-1006,0
172,chaos,-520364,-520880,-521080,-520680,516,-516,0
173,chaos,-520364,-521870,-522070,-521670,1506,-1506,0
174,chaos,-520364,-516540,-516740,-516340,3824,3824,0
175,chaos,-520364,-525150,-525350,-524950,4786,-4786,0
176,chaos,-520364,-522890,-523090,-522690,2526,-2526,0
177,chaos,-520364,-519290,-519490,-519090,1074,1074,0
178,chaos,-520364,-525210,-525410,-525010,4846,-4846,0
179,chaos,-520364,-520470,-520670,-520270,106,-106,0.725
180,chaos,-520364,-515370,-515570,-515170,4994,4994,0
181,chaos,-520364,-523190,-523390,-522990,2826,-2826,0
182,chaos,-520364,-518120,-518320,-517920,2244,2244,0
183,chaos,-520364,-524120,-524320,-523920,3756,-3756,0
184,chaos,-520364,-524510,-524710,-524310,4146,-4146,0
185,chaos,-520364,-518880,-519080,-518680,1484,1484,0
186,chaos,-520364,-516840,-517040,-516640,3524,3524,0
187,chaos,-520364,-515650,-515850,-515450,4714,4714,0
188,chaos,-520364,-520200,-520400,-520000,164,164,0.6
189,chaos,-520364,-520700,-520900,-520500,336,-336,0.15
190,chaos,-520364,-516970,-517170,-516770,3394,3394,0
191,chaos,-520364,-515650,-515850,-515450,4714,4714,0
192,chaos,-520364,-520530,-520730,-520330,166,-166,0.575
193,chaos,-520364,-520960,-521160,-520760,596,-596,0
194,chaos,-520364,-521640,-521840,-521440,1276,-1276,0
195,chaos,-520364,-516580,-516780,-516380,3784,3784,0
196,chaos,-520364,-517340,-517540,-517140,3024,3024,0
197,chaos,-520364,-520750,-520950,-520550,386,-386,0.025
198,chaos,-520364,-524000,-524200,-523800,3636,-3636,0
199,chaos,-520364,-520230,-520430,-520030,134,134,0.675
200,chaos,-520364,-520660,-520860,-520460,296,-296,0.25
201,chaos,-520364,-515590,-515790,-515390,4774,4774,0
202,chaos,-520364,-520220,-520420,-520020,144,144,0.65
203,chaos,-520364,-522330,-522530,-522130,1966,-1966,0
204,chaos,-520364,-519740,-519940,-519540,624,624,0
205,chaos,-520364,-524260,-524460,-524060,3896,-3896,0
206,chaos,-520364,-519290,-519490,-519090,1074,1074,0
207,chaos,-520364,-518240,-518440,-518040,2124,2124,0
208,chaos,-520364,-521520,-521720,-521320,1156,-1156,0
209,chaos,-520364,-521500,-521700,-521300,1136,-1136,0
210,chaos,-520364,-525090,-525290,-524890,4726,-4726,0
211,chaos,-520364,-525230,-525430,-525030,4866,-4866,0
212,chaos,-520364,-522720,-522920,-522520,2356,-2356,0
213,chaos,-520364,-517100,-517300,-516900,3264,3264,0
214,chaos,-520364,-516340,-516540,-516140,4024,4024,0
215,chaos,-520364,-519310,-519510,-519110,1054,1054,0
216,chaos,-520364,-516980,-517180,-516780,3384,3384,0
217,chaos,-520364,-518970,-519170,-518770,1394,1394,0
218,chaos,-520364,-520960,-521160,-520760,596,-596,0
219,chaos,-520364,-524090,-524290,-523890,3726,-3726,0
220,chaos,-520364,-524700,-524900,-524500,4336,-4336,0
221,chaos,-520364,-523390,-523590,-523190,3026,-3026,0
222,chaos,-520364,-519130,-519330,-518930,1234,1234,0
223,chaos,-520364,-524220,-524420,-524020,3856,-3856,0
224,chaos,-520364,-518500,-518700,-518300,1864,1864,0
225,chaos,-520364,-524400,-524600,-524200,4036,-4036,0
226,chaos,-520364,-524820,-525020,-524620,4456,-4456,0
227,chaos,-520364,-520500,-520700,-520300,136,-136,0.65
228,chaos,-520364,-524890,-525090,-524690,4526,-4526,0
229,chaos,-520364,-520580,-520780,-520380,216,-216,0.45
230,chaos,-520364,-524230,-524430,-524030,3866,-3866,0
231,chaos,-520364,-518110,-518310,-517910,2254,2254,0
232,chaos,-520364,-523560,-523760,-523360,3196,-3196,0
233,chaos,-520364,-523190,-523390,-522990,2826,-2826,0
234,chaos,-520364,-523020,-523220,-522820,2656,-2656,0
235,chaos,-520364,-516250,-516450,-516050,4114,4114,0
236,chaos,-520364,-519830,-520030,-519630,534,534,0
237,chaos,-520364,-516540,-516740,-516340,3824,3824,0
238,chaos,-520364,-516270,-516470,-516070,4094,4094,0
239,chaos,-520364,-520970,-521170,-520770,606,-606,0
240,chaos,-520364,-521890,-522090,-521690,1526,-1526,0
241,chaos,-520364,-519620,-519820,-519420,744,744,0
242,chaos,-520364,-518390,-518590,-518190,1974,1974,0
243,chaos,-520364,-522490,-522690,-522290,2126,-2126,0
244,chaos,-520364,-516990,-517190,-516790,3374,3374,0
245,chaos,-520364,-517130,-517330,-516930,3234,3234,0
246,chaos,-520364,-519170,-519370,-518970,1194,1194,0
247,chaos,-520364,-522500,-522700,-522300,2136,-2136,0
248,chaos,-520364,-517920,-518120,-517720,2444,2444,0
249,chaos,-520364,-518190,-518390,-517990,2174,2174,0
250,chaos,-520364,-523160,-523360,-522960,2796,-2796,0
251,chaos,-520364,-522470,-522670,-522270,2106,-2106,0
252,chaos,-520364,-519660,-519860,-519460,704,704,0
253,chaos,-520364,-520220,-520420,-520020,144,144,0.65
254,chaos,-520364,-520280,-520480,-520080,84,84,0.8
255,chaos,-520364,-518960,-519160,-518760,1404,1404,0
256,chaos,-520364,-521280,-521480,-521080,916,-916,0
257,chaos,-520364,-516440,-516640,-516240,3924,3924,0
258,chaos,-520364,-517690,-517890,-517490,2674,2674,0
259,chaos,-520364,-524740,-524940,-524540,4376,-4376,0
260,chaos,-520364,-523060,-523260,-522860,2696,-2696,0
261,chaos,-520364,-524460,-524660,-524260,4096,-4096,0
262,chaos,-520364,-523170,-523370,-522970,2806,-2806,0
